"id","price","type","rooms","neighborhood","suites","bathrooms","garages","private_area","total_area"
522,2500000,"Apartamento",5,"Vila Operária",2,7,5,690,0
523,509200,"Apartamento",2,"Vila Industrial",1,2,1,84,0
524,850000,"Apartamento",3,"Centro",1,2,2,134.13,0
525,650000,"Casa",3,"Centro",0,2,3,127,400
526,250000,"Casa",2,"Pinheirinho",1,2,1,54.57,125
527,275000,"Casa",3,"Jardim Panorama",0,1,1,70.32,135
528,205000,"Casa",1,"Pinheirinho",1,2,1,0,127
529,700000,"Apartamento",3,"Centro",1,3,2,145.98,0
530,310000,"Apartamento",2,"Biopark",1,2,1,62.29,0
531,250000,"Casa",2,"Pinheirinho",1,2,1,54.57,125
532,312500,"Apartamento",2,"Biopark",1,2,1,62.29,0
533,310000,"Apartamento",2,"Biopark",1,2,1,62.29,0
534,315000,"Apartamento",2,"Biopark",1,2,1,62.29,0
535,317500,"Apartamento",2,"Biopark",1,2,1,62.29,0
536,315000,"Apartamento",2,"Biopark",1,2,1,62.29,0
537,312500,"Apartamento",2,"Biopark",1,2,1,62.29,0
538,320000,"Apartamento",2,"Biopark",1,2,1,62.29,0
539,710000,"Apartamento",3,"Centro",1,3,2,152.73,0
540,225000,"Casa",3,"Pinheirinho",1,2,1,61,127
541,317500,"Apartamento",2,"Biopark",1,2,1,62.29,0
542,1500000,"Casa",3,"Jardim Gisela",1,3,4,385,525
543,467000,"Apartamento",3,"Jardim La Salle",1,2,2,89.27,0
544,155000,"Casa",2,"Pinheirinho",0,1,1,41.85,150
545,310000,"Casa",2,"Jardim Europa",0,1,2,70,135
546,820000,"Apartamento",3,"Centro",1,2,2,136.66,0
547,275000,"Casa",3,"Jardim Panorama",0,1,1,75.8,142
548,468000,"Apartamento",3,"Jardim La Salle",1,2,2,91.63,0
549,790000,"Casa",3,"Jardim Pancera",1,3,3,140.5,257.42
550,270000,"Casa",3,"Jardim Panorama",0,1,1,75.8,150
551,340000,"Apartamento",2,"Jardim La Salle",0,1,1,66.64,0
552,390000,"Casa",3,"Jardim Pancera",1,2,2,99.56,194.25
553,360000,"Casa",3,"Jardim Coopagro",1,3,3,101,250
554,215000,"Casa",2,"Jardim Panorama",1,2,1,53.22,125
555,485000,"Apartamento",3,"Jardim La Salle",1,2,2,91.63,0
556,649000,"Casa",3,"Vila Industrial",2,3,2,140.37,384.8
557,445000,"Apartamento",2,"Jardim Pancera",1,2,1,71.61,0
558,570000,"Casa",3,"Vila Industrial",1,2,1,95.96,195
559,140000,"Apartamento",2,"Jardim Panorama",0,1,1,56.25,0
560,330000,"Casa",3,"Independência",1,2,2,140,490
561,180000,"Apartamento",2,"Jardim Panorama",0,1,1,56.25,0
562,460000,"Apartamento",3,"Jardim Pancera",1,2,2,94.49,0
563,1390000,"Casa",3,"Jardim Pancera",1,4,4,231.51,514.64
564,205000,"Casa",2,"São Francisco",1,2,1,59,126.73
565,490000,"Apartamento",3,"Jardim Pancera",1,2,2,105.01,0
566,630000,"Apartamento",3,"Jardim Concórdia",1,2,2,142.96,0
567,369000,"Apartamento",2,"Jardim Pancera",0,1,1,58.46,0
568,400000,"Casa",4,"Centro",0,2,3,126.8,360
569,630000,"Apartamento",3,"Vila Industrial",3,4,2,154,0
570,410000,"Apartamento",2,"Jardim Pancera",0,1,1,58.46,0
571,395000,"Apartamento",2,"Jardim Pancera",1,2,1,71.61,0
572,210000,"Casa",4,"Jardim Europa",1,2,2,136,300
573,325000,"Casa",3,"Jardim Bressan",1,2,1,88,360
574,2975000,"Apartamento",3,"Centro",1,4,1,570.53,1000
575,380000,"Apartamento",2,"Jardim Pancera",1,2,1,75.51,0
576,395000,"Apartamento",2,"Jardim Pancera",1,2,1,71.61,0
577,1500000,"Casa",3,"Centro",0,2,1,158.38,450
578,435000,"Apartamento",2,"Jardim Pancera",1,2,1,71.61,0
579,430000,"Apartamento",3,"Centro",1,2,1,127.13,0
580,255000,"Casa",2,"Jardim Panorama",1,2,2,59.1,125
581,968500,"Casa",3,"Vila Becker",1,2,2,168.22,360
582,275000,"Casa",2,"Jardim Panorama",1,2,2,59.1,125
583,520000,"Apartamento",3,"Jardim La Salle",1,2,1,115,0
584,520000,"Apartamento",3,"Jardim La Salle",1,2,1,115,0
585,520000,"Apartamento",3,"Jardim La Salle",1,2,1,117,0
586,480000,"Casa",4,"Centro",0,2,1,226,450
587,210000,"Casa",2,"São Francisco",1,2,1,55,126.7
588,520000,"Apartamento",3,"Jardim La Salle",1,2,1,122,0
589,210000,"Casa",2,"São Francisco",1,2,1,55,126.7
